COV #,VIN,Model,Model Name,Color,Plate #,Model Family,Demo or Display
41705,1HD1KGL11GB605380,FLTRU,Road Glide Ultra,BIL SLVR/V BLK,,TOURING,DEMO
41706,1HD1LC313GC401972,XL1200X,Forty-Eight,HC GOLD FLAKE,,SPORTSTER,DEMO
41707,1HD4LE215GC402311,XL883N,Iron 883,BLACK DENIM,P 41 77,SPORTSTER,DEMO
41708,1HD1VAM10GC300286,FXDBP103,Street Bob,BLACK QUARTZ,,DYNA,DEMO
41709,1HD1GYM12GC300339,FXDF103,Fat Bob,OLIVE GOLD,,DYNA,DEMO
41710,1HD1GNM10GC301942,FXDL103,Low Rider,PRPLFR/BLKBY SM,,DYNA,DEMO
41711,1HD1JRV11GB010816,FLS103,Slim,CHAR STN/BLKSTN,,SOFTAIL,DEMO
41712,,FLSTFBS,Fat Boy S,BLACK DENIM,,SOFTAIL,DEMO
41713,1HD1BFV19GB011093,FXSB103,Breakout,CRUSHED ICE PRL,,SOFTAIL,DEMO
41714,1HD1KGL14GB602425,FLTRU,Road Glide Ultra,BIL SLVR/V BLK,,TOURING,DEMO
41715,1HD1MCM14GB850143,FLRT,Trike Freewheeler,VELOCITY RED,,TRIKE,DEMO
41716,1HD1HHH14GC800140,VRSCDX,Night Rod Special,CHARCOAL DENIM,,V-Rod,DEMO
41717,1HD1HPH14GC800178,VRSCF,V-Rod Muscle,BIL SLV DLX,,V-Rod,DEMO
41718,1HD4NBB12GC500186,XG750,Street 750,SUPERIOR BLUE,,STREET,DEMO
41719,1HD1PXN15GB950099,FLHXSE,CVO Street Glide,ATMCRED/CNDYAPL,,TOURING,DEMO
42067,1HD1JS917GB013303,FLSS,Softail Slim S,OLIVE GOLD DNM,T 41 34,SOFTAIL,DEMO
42068,1HD1JS912GB013516,FLSS,Softail Slim S,OLIVE GOLD DNM,P 41 29,SOFTAIL,DEMO
42069,1HD1JS919GB012153,FLSS,Softail Slim S,OLIVE GOLD DNM,S 41 50,SOFTAIL,DEMO
42070,1HD1JS914GB013615,FLSS,Softail Slim S,OLIVE GOLD DNM,S 41 15,SOFTAIL,DEMO
42071,1HD1JS915GB013543,FLSS,Softail Slim S,OLIVE GOLD DNM,S 41 43,SOFTAIL,DEMO
42072,1HD1JS911GB013636,FLSS,Softail Slim S,OLIVE GOLD DNM,U 41 59,SOFTAIL,DEMO
42073,1HD1JS91XGB013876,FLSS,Softail Slim S,OLIVE GOLD DNM,S 41 86,SOFTAIL,DEMO
42074,,FLSS,Softail Slim S,OLIVE GOLD DNM,,SOFTAIL,DEMO
42075,1HD1JS915GB013574,FLSS,Softail Slim S,OLIVE GOLD DNM,P 41 55,SOFTAIL,DEMO
42076,1HD1JS911GB013829,FLSS,Softail Slim S,BLACK,,SOFTAIL,DISPLAY
42077,1HD1JS911GB013619,FLSS,Softail Slim S,BLACK,,SOFTAIL,DISPLAY
42078,1HD1JS910GB013840,FLSS,Softail Slim S,BLACK,,SOFTAIL,DISPLAY
42079,1HD1JS911GB013894,FLSS,Softail Slim S,BLACK,,SOFTAIL,DEMO
42338,,FXDWG103,Wide Glide,BLACK,R 41 21,DYNA,DEMO
42339,1HD1GPM19GC303054,FXDWG103,Wide Glide,BLACK DENIM FLM,S 41 13,DYNA,DEMO
42340,1HD1JT915GC011002,FLSTFBS,Fat Boy S,BLACK DENIM,U 41 55,SOFTAIL,DEMO
42341,1HD1JT916GC011011,FLSTFBS,Fat Boy S,BLACK DENIM,T 41 20,SOFTAIL,DEMO
